factor,legacy_member,new75_member,membership,legacy_category,legacy_direction,legacy_period,legacy_ic,legacy_t,new_direction,new_period,new_is_ic,new_is_t,new_is_q,new_oos_ic,new_oos_ic_hac_t,new_oos_ols_hac_t,new_oos_days,new_decision_reason
intraday_seat_long_short_seat_ratio_20d,True,False,legacy_only,validated_candidate,1,10,0.066,2.7,,20,0.16755868265730783,5.007328432577826,0.00042740298223684835,-0.17651030284289304,-8.963259293399656,-8.340337531428206,22,oos_direction_reversed_or_zero
intraday_sector_sync_20d,False,True,new_only,,,,,,1,5,0.12596545275551696,2.589116933703033,0.08959199434738858,0.024480030046266962,0.37003110356080066,0.38919235625922055,37,passed_is_and_oos_direction
intraday_sector_vol_div_20d,True,True,both,marginal_watch,1,20,0.131,2.84,1,20,0.24789394084636962,4.725422662721152,0.0008342725431883619,0.09296702874898034,1.7096799219830574,2.2573826418101093,22,passed_is_and_oos_direction
intraday_session_consistency_20d,False,True,new_only,,,,,,1,20,0.10938200017564456,5.396155737534208,0.00012368136238666044,0.1437655955054093,3.5887255313139077,4.348001344823458,22,passed_is_and_oos_direction
intraday_session_symmetry_20d,True,True,both,validated_candidate,-1,10,-0.069,2.81,1,20,0.15765261111692133,2.990436773740611,0.056735522690043984,0.10923243919272023,5.91994372147413,4.55100195654119,22,passed_is_and_oos_direction
intraday_settle_close_basis_20d,True,False,legacy_only,validated_candidate,-1,20,-0.141,3.39,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_settle_drift_20d,True,False,legacy_only,validated_candidate,1,20,0.138,3.33,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_settle_gap_20d,True,False,legacy_only,validated_candidate,1,10,0.096,3.26,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_settle_position_20d,True,False,legacy_only,validated_candidate,-1,20,-0.126,5.05,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_settle_vol_ratio_20d,True,False,legacy_only,validated_candidate,1,20,0.079,2.57,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_shooting_star_freq_20d,False,True,new_only,,,,,,1,5,0.09988437987877292,3.0554664848022135,0.048440058239435556,0.048622752453281584,1.5036878306024515,1.229337813026469,37,passed_is_and_oos_direction
intraday_smart_money_v4_vol_20d,True,False,legacy_only,new_candidate,1,20,0.14,3.65,,20,0.20246519658460924,4.059719357627527,0.00552790850953127,-0.21053261746347704,-2.3638501479249983,-2.1202795550102302,22,oos_direction_reversed_or_zero
intraday_spectral_slope_20d,False,True,new_only,,,,,,-1,20,-0.19827978981642239,-2.895788740793948,0.03388412363953959,-0.1379771618006812,-4.6706225989104215,-6.760014454309999,22,passed_is_and_oos_direction
intraday_temporal_consistency_20d,False,True,new_only,,,,,,1,5,0.07109472660109403,2.9209347025387533,0.049949112749755824,0.04655356674949598,1.6347764134982803,1.1979025013686593,37,passed_is_and_oos_direction
intraday_term_half_life_20d,False,True,new_only,,,,,,1,5,0.11342915069955575,3.270457704485087,0.03173511065656843,0.04712690320404345,0.9582933552131839,0.3820345637508532,37,passed_is_and_oos_direction
intraday_term_jump_intensity_20d,False,True,new_only,,,,,,-1,20,-0.23896193501990964,-3.3587784718878027,0.02741817005985325,-0.25118619068113934,-4.999644529868971,-4.351156852565503,22,passed_is_and_oos_direction
intraday_term_roll_yield_20d,True,True,both,validated_candidate,1,20,0.126,3.44,1,20,0.13253720439642092,2.9679677428268563,0.05838188464257638,0.10338101954497296,3.1915319204671353,2.860061579816325,22,passed_is_and_oos_direction
intraday_term_roll_yield_vol_20d,False,True,new_only,,,,,,1,20,0.23410058663383915,3.727560493607088,0.01192061407818082,0.3852285126788386,3.9221984557205394,3.761398167483195,22,passed_is_and_oos_direction
intraday_term_slope_20d,True,False,legacy_only,validated_candidate,1,20,0.106,3.62,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_term_spread_vol_20d,True,False,legacy_only,validated_candidate,1,5,0.042,2.66,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_term_vol_ratio_20d,True,False,legacy_only,validated_candidate,1,10,0.103,2.31,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_term_vol_spread_20d,True,False,legacy_only,validated_candidate,-1,5,-0.048,3.1,,20,-0.15368708756189725,-3.456252625951071,0.022335824611538886,0.020053766187427696,0.7731148490626861,0.48670824711397104,22,oos_direction_reversed_or_zero
intraday_tick_activity_20d,False,True,new_only,,,,,,1,10,0.17196549909435882,2.5525363481307273,0.09292745008341521,0.1336711323024474,2.277425169584455,2.29556605787035,32,passed_is_and_oos_direction
intraday_torrent_down_20d,True,False,legacy_only,new_candidate,-1,20,-0.06,-3.35,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_trajectory_illiq_20d,True,False,legacy_only,new_candidate,-1,20,-0.14,-2.78,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_trend_occupancy_20d,False,True,new_only,,,,,,1,10,0.10319632323089543,3.219148990600184,0.02462688632509897,0.07668620304765358,1.6515198866127079,1.68611388945289,32,passed_is_and_oos_direction
intraday_trend_resid_kurt_20d,False,True,new_only,,,,,,1,20,0.11527876039389667,2.8981005783575453,0.06832944668315481,0.04432700973702777,0.6504833877011637,0.49500165314926015,22,passed_is_and_oos_direction
intraday_turnover_velocity_20d,True,False,legacy_only,validated_candidate,1,20,0.163,2.28,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_variance_ratio_30m_20d,False,True,new_only,,,,,,1,5,0.1384909210684396,3.0952408144763996,0.0337976256868294,0.0048099454852184274,0.08486176561241736,0.06779501179032005,37,passed_is_and_oos_direction
intraday_variance_ratio_5m_20d,False,True,new_only,,,,,,1,10,0.18002374793870848,3.0373407135062105,0.0337976256868294,0.03234838097421695,0.5545910014805345,0.4998657758961265,32,passed_is_and_oos_direction
intraday_vol_bucket_entropy_20d,True,False,legacy_only,new_candidate,1,10,0.06,2.88,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_vol_flow_vol_20d,True,False,legacy_only,new_candidate,1,20,0.1,2.74,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_vol_persistence_20d,False,True,new_only,,,,,,1,20,0.25653798181436355,3.998020991402699,0.006531775048561918,0.0863236089419373,4.8341094156710485,4.449108133169707,22,passed_is_and_oos_direction
intraday_vol_ratio_5_30_20d,False,True,new_only,,,,,,-1,20,-0.28857424578639096,-3.780647230697865,0.011096955647047786,-0.0027232173421036974,-0.11539443234799342,-0.07379335295124988,22,passed_is_and_oos_direction
intraday_vol_regime_duration_ratio_20d,False,True,new_only,,,,,,-1,20,-0.17927679344280054,-3.509882086127411,0.021043409688974953,-0.07179152139613763,-1.0812923468302984,-1.6146852444635102,22,passed_is_and_oos_direction
intraday_vol_ret_cov_20d,True,False,legacy_only,marginal_watch,-1,20,-0.073,2.13,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_vol_volume_regime_20d,False,True,new_only,,,,,,-1,10,-0.1649667931686907,-2.5748992616876887,0.07239285134174414,-0.033845760704289476,-0.712296181069434,-0.642986227145423,32,passed_is_and_oos_direction
intraday_vol_volume_sync_20d,False,True,new_only,,,,,,1,10,0.17906914474192884,2.6539875018536065,0.07452368958823358,0.08322935393687995,1.4859246144980334,1.5797897197847683,32,passed_is_and_oos_direction
intraday_volatility_clustering_20d,True,True,both,validated_candidate,-1,20,-0.193,6.54,1,20,0.25181109149999115,3.9598733022818133,0.007035999847319763,0.0856121054144148,4.67851964638309,4.4679591993685905,22,passed_is_and_oos_direction
intraday_volume_oi_price_confirm_20d,True,False,legacy_only,validated_candidate,1,20,0.145,4.06,,20,0.19181546924840828,4.986252979640013,0.00042740298223684835,-0.11881246821963351,-1.9362208663247586,-2.1931647420988134,22,oos_direction_reversed_or_zero
intraday_volume_rank_ratio_20d,True,False,legacy_only,validated_candidate,1,20,0.064,2.7,,,0.0,0.0,1.0,,,,,is_hierarchical_fdr_not_passed
intraday_volume_time_shape_20d,True,False,legacy_only,validated_candidate,1,20,0.079,2.67,,20,0.21700966116551304,2.8618438692267425,0.07349175807322576,-0.08841523226303726,-4.764505391884076,-4.642649767331457,22,oos_direction_reversed_or_zero
intraday_vp_corr_high_freq_20d,True,True,both,new_candidate,1,20,0.16,4.56,1,10,0.2221984348657472,2.9739410052464934,0.04218451522119183,0.020594775288241773,0.37678960435921544,0.19650751600161853,32,passed_is_and_oos_direction
intraday_vpin_20d,False,True,new_only,,,,,,1,5,0.11369454496231086,3.034894127032584,0.036217853504451905,0.05990110795433306,1.1075020661561097,0.7929027990324016,37,passed_is_and_oos_direction
intraday_wash_trade_20d,True,False,legacy_only,validated_candidate,1,20,0.213,5.54,,,-0.2114736039052675,-3.2039104210823246,0.08959199434738858,,,,,is_post_discovery_gate_not_passed
intraday_zero_ret_freq_20d,True,True,both,validated_candidate,-1,20,-0.317,11.95,-1,10,-0.17196549909435854,-2.552536348130724,0.09292745008341521,-0.13367113230244737,-2.2774251695844563,-2.2955660578703507,32,passed_is_and_oos_direction
intraday_zero_volume_run_20d,False,True,new_only,,,,,,-1,10,-0.23460572965910043,-3.3884960097900443,0.021688830335210817,-0.004497340864254026,-0.11075895734851535,-0.4382266187404301,32,passed_is_and_oos_direction
jump_persistence_20d,False,True,new_only,,,,,,1,10,0.15828295980090398,2.965595808834279,0.036217853504451905,0.041851934035629756,0.90490477499423,1.0397641538232032,32,passed_is_and_oos_direction
kyle_lambda_stability_20d,False,True,new_only,,,,,,-1,20,-0.10334806792447437,-3.6642298966947338,0.014543883081674374,-0.03670221035556632,-2.077549513750877,-1.6488064280274186,22,passed_is_and_oos_direction
roll_spread_vol_scaled_20d,False,True,new_only,,,,,,-1,10,-0.13888938841760548,-2.5122582127511563,0.09360079672571398,-0.10367051806980243,-3.5324794917601716,-3.3185605155779676,32,passed_is_and_oos_direction
vol_clustering_20d,False,True,new_only,,,,,,1,20,0.2518110914999911,3.9598733022818124,0.007035999847319763,0.08561210541441491,4.678519646383097,4.467959199368598,22,passed_is_and_oos_direction
