date,symbol,weight
2025-03-20,P,0.04079385787088131
2025-03-20,SC,0.04769959157986054
2025-03-20,A,0.06439762356924858
2025-03-20,IC,0.043280370076348385
2025-03-20,M,0.039795468985651374
2025-03-20,CF,-0.04666394244583851
2025-03-20,UR,-0.020172853939240627
2025-03-20,I,-0.015098418505332922
2025-03-20,SR,-0.04193458174889222
2025-03-20,SA,-0.013089597571335891
2025-03-20,MA,-0.0243510564243544
2025-03-20,J,-0.012315049759699428
2025-03-20,OI,-0.016611691529633904
2025-03-20,JM,-0.011372577331891405
2025-03-20,TF,-0.29839023074378074
2025-03-21,AU,0.07692561471007928
2025-03-21,AG,0.0380992300454772
2025-03-21,SN,0.0346573290605816
2025-03-21,IH,0.05669975830193558
2025-03-21,P,0.04086657316387296
2025-03-21,SC,0.04902425412465742
2025-03-21,IF,0.05348027029415323
2025-03-21,IC,0.043132942313572877
2025-03-21,A,0.06666551499778178
2025-03-21,M,0.04044851298788808
2025-03-21,CF,-0.04589408348559251
2025-03-21,UR,-0.019365906174471117
2025-03-21,SR,-0.04000347654120637
2025-03-21,I,-0.014548927023010588
2025-03-21,MA,-0.02355073244757724
2025-03-21,SA,-0.012670190563451637
2025-03-21,J,-0.012143439907976094
2025-03-21,OI,-0.017919736182868972
2025-03-21,JM,-0.011144011863904946
2025-03-21,TF,-0.3027594958099406
2025-03-24,AU,0.07070350498909644
2025-03-24,AG,0.035950431519364834
2025-03-24,SN,0.03230224129863204
2025-03-24,SC,0.04991215021309391
2025-03-24,P,0.03706553632811568
2025-03-24,IH,0.05211406065123969
2025-03-24,IF,0.04834987753322285
2025-03-24,A,0.06225832393442298
2025-03-24,IC,0.0376650849614821
2025-03-24,JD,0.07367878857132948
2025-03-24,CF,-0.030619468588101124
2025-03-24,I,-0.00869086353004501
2025-03-24,SR,-0.026148061070104756
2025-03-24,UR,-0.011625693103075124
2025-03-24,MA,-0.01451487483715262
2025-03-24,J,-0.007143514760888627
2025-03-24,SA,-0.00738861065015481
2025-03-24,OI,-0.011217728917327311
2025-03-24,JM,-0.006838772259040761
2025-03-24,TS,-0.37581241228410983
2025-03-25,AU,0.07013854455447706
2025-03-25,AG,0.03594185139314758
2025-03-25,SN,0.031974926176275564
2025-03-25,IH,0.05266864694455173
2025-03-25,SC,0.05009539387236353
2025-03-25,IF,0.04889373476618958
2025-03-25,P,0.03643330196677973
2025-03-25,IC,0.037860482712228985
2025-03-25,A,0.06257616534876227
2025-03-25,JD,0.07341695226522402
2025-03-25,CF,-0.030119968407664708
2025-03-25,SR,-0.025745578927534114
2025-03-25,UR,-0.01180733825239432
2025-03-25,I,-0.008618361141486305
2025-03-25,J,-0.0071184176397781004
