date,symbol,weight
2025-03-06,I,-0.1
2025-03-06,IC,-0.1
2025-03-06,IF,-0.1
2025-03-06,IH,-0.1
2025-03-07,A,0.1
2025-03-07,AG,0.1
2025-03-07,AL,0.1
2025-03-07,AU,0.1
2025-03-07,FU,0.1
2025-03-07,HC,0.1
2025-03-07,I,0.1
2025-03-07,IC,0.1
2025-03-07,IF,0.1
2025-03-07,IH,0.1
2025-03-07,A,-0.1
2025-03-07,AG,-0.1
2025-03-07,AL,-0.1
2025-03-07,AU,-0.1
2025-03-07,FU,-0.1
2025-03-07,HC,-0.1
2025-03-07,I,-0.1
2025-03-07,IC,-0.1
2025-03-07,IF,-0.1
2025-03-07,IH,-0.1
2025-03-10,A,0.1
2025-03-10,AG,0.1
2025-03-10,AL,0.1
2025-03-10,AU,0.1
2025-03-10,FU,0.1
2025-03-10,HC,0.1
2025-03-10,I,0.1
2025-03-10,IC,0.1
2025-03-10,IF,0.1
2025-03-10,IH,0.1
2025-03-10,A,-0.1
2025-03-10,AG,-0.1
2025-03-10,AL,-0.1
2025-03-10,AU,-0.1
2025-03-10,FU,-0.1
2025-03-10,HC,-0.1
2025-03-10,I,-0.1
2025-03-10,IC,-0.1
2025-03-10,IF,-0.1
2025-03-10,IH,-0.1
2025-03-11,A,0.1
2025-03-11,AG,0.1
2025-03-11,AL,0.1
2025-03-11,AU,0.1
2025-03-11,FU,0.1
2025-03-11,HC,0.1
2025-03-11,I,0.1
2025-03-11,IC,0.1
2025-03-11,IF,0.1
2025-03-11,IH,0.1
2025-03-11,A,-0.1
2025-03-11,AG,-0.1
2025-03-11,AL,-0.1
2025-03-11,AU,-0.1
2025-03-11,FU,-0.1
2025-03-11,HC,-0.1
2025-03-11,I,-0.1
2025-03-11,IC,-0.1
2025-03-11,IF,-0.1
2025-03-11,IH,-0.1
2025-03-12,A,0.1
2025-03-12,AG,0.1
2025-03-12,AL,0.1
2025-03-12,AU,0.1
2025-03-12,FU,0.1
2025-03-12,HC,0.1
2025-03-12,I,0.1
2025-03-12,IC,0.1
2025-03-12,IF,0.1
2025-03-12,IH,0.1
2025-03-12,A,-0.1
2025-03-12,AG,-0.1
2025-03-12,AL,-0.1
2025-03-12,AU,-0.1
2025-03-12,FU,-0.1
2025-03-12,HC,-0.1
2025-03-12,I,-0.1
2025-03-12,IC,-0.1
2025-03-12,IF,-0.1
2025-03-12,IH,-0.1
2025-03-13,A,0.1
2025-03-13,AG,0.1
2025-03-13,AL,0.1
2025-03-13,AU,0.1
2025-03-13,FU,0.1
2025-03-13,HC,0.1
2025-03-13,I,0.1
2025-03-13,IC,0.1
2025-03-13,IF,0.1
2025-03-13,IH,0.1
2025-03-13,A,-0.1
2025-03-13,AG,-0.1
2025-03-13,AL,-0.1
2025-03-13,AU,-0.1
2025-03-13,FU,-0.1
2025-03-13,HC,-0.1
2025-03-13,I,-0.1
2025-03-13,IC,-0.1
2025-03-13,IF,-0.1
2025-03-13,IH,-0.1
2025-03-14,A,0.1
2025-03-14,AG,0.1
2025-03-14,AL,0.1
2025-03-14,AU,0.1
2025-03-14,FU,0.1
2025-03-14,HC,0.1
2025-03-14,I,0.1
2025-03-14,IC,0.1
2025-03-14,IF,0.1
2025-03-14,IH,0.1
2025-03-14,A,-0.1
2025-03-14,AG,-0.1
2025-03-14,AL,-0.1
2025-03-14,AU,-0.1
2025-03-14,FU,-0.1
2025-03-14,HC,-0.1
2025-03-14,I,-0.1
2025-03-14,IC,-0.1
2025-03-14,IF,-0.1
2025-03-14,IH,-0.1
2025-03-17,A,0.1
2025-03-17,AG,0.1
2025-03-17,AL,0.1
2025-03-17,AU,0.1
2025-03-17,FU,0.1
2025-03-17,HC,0.1
2025-03-17,I,0.1
2025-03-17,IC,0.1
2025-03-17,IF,0.1
2025-03-17,IH,0.1
2025-03-17,A,-0.1
2025-03-17,AG,-0.1
2025-03-17,AL,-0.1
2025-03-17,AU,-0.1
2025-03-17,FU,-0.1
2025-03-17,HC,-0.1
2025-03-17,I,-0.1
2025-03-17,IC,-0.1
2025-03-17,IF,-0.1
2025-03-17,IH,-0.1
2025-03-18,A,0.1
2025-03-18,AG,0.1
2025-03-18,AL,0.1
2025-03-18,AU,0.1
2025-03-18,FU,0.1
2025-03-18,HC,0.1
2025-03-18,I,0.1
2025-03-18,IC,0.1
2025-03-18,IF,0.1
2025-03-18,IH,0.1
2025-03-18,A,-0.1
2025-03-18,AG,-0.1
2025-03-18,AL,-0.1
2025-03-18,AU,-0.1
2025-03-18,FU,-0.1
2025-03-18,HC,-0.1
2025-03-18,I,-0.1
2025-03-18,IC,-0.1
2025-03-18,IF,-0.1
2025-03-18,IH,-0.1
2025-03-19,A,0.1
2025-03-19,AG,0.1
2025-03-19,AL,0.1
2025-03-19,AU,0.1
2025-03-19,FU,0.1
2025-03-19,HC,0.1
2025-03-19,I,0.1
2025-03-19,IC,0.1
2025-03-19,IF,0.1
2025-03-19,IH,0.1
2025-03-19,A,-0.1
2025-03-19,AG,-0.1
2025-03-19,AL,-0.1
2025-03-19,AU,-0.1
2025-03-19,FU,-0.1
2025-03-19,HC,-0.1
2025-03-19,I,-0.1
2025-03-19,IC,-0.1
2025-03-19,IF,-0.1
2025-03-19,IH,-0.1
2025-03-20,A,0.1
2025-03-20,AG,0.1
2025-03-20,AL,0.1
2025-03-20,AU,0.1
2025-03-20,FU,0.1
2025-03-20,HC,0.1
2025-03-20,I,0.1
2025-03-20,IC,0.1
2025-03-20,IF,0.1
2025-03-20,IH,0.1
2025-03-20,A,-0.1
2025-03-20,AG,-0.1
2025-03-20,AL,-0.1
2025-03-20,AU,-0.1
2025-03-20,FU,-0.1
2025-03-20,HC,-0.1
2025-03-20,I,-0.1
2025-03-20,IC,-0.1
2025-03-20,IF,-0.1
2025-03-20,IH,-0.1
2025-03-21,A,0.1
2025-03-21,AG,0.1
2025-03-21,AL,0.1
2025-03-21,AU,0.1
2025-03-21,FU,0.1
2025-03-21,HC,0.1
2025-03-21,I,0.1
2025-03-21,IC,0.1
2025-03-21,IF,0.1
2025-03-21,IH,0.1
2025-03-21,A,-0.1
2025-03-21,AG,-0.1
2025-03-21,AL,-0.1
2025-03-21,AU,-0.1
2025-03-21,FU,-0.1
2025-03-21,HC,-0.1
2025-03-21,I,-0.1
2025-03-21,IC,-0.1
2025-03-21,IF,-0.1
2025-03-21,IH,-0.1
2025-03-24,A,0.1
2025-03-24,AG,0.1
2025-03-24,AL,0.1
2025-03-24,AU,0.1
2025-03-24,FU,0.1
2025-03-24,HC,0.1
2025-03-24,I,0.1
2025-03-24,IC,0.1
2025-03-24,IF,0.1
2025-03-24,IH,0.1
2025-03-24,A,-0.1
2025-03-24,AG,-0.1
2025-03-24,AL,-0.1
2025-03-24,AU,-0.1
2025-03-24,FU,-0.1
2025-03-24,HC,-0.1
2025-03-24,I,-0.1
2025-03-24,IC,-0.1
2025-03-24,IF,-0.1
2025-03-24,IH,-0.1
2025-03-25,A,0.1
2025-03-25,AG,0.1
2025-03-25,AL,0.1
2025-03-25,AU,0.1
2025-03-25,FU,0.1
2025-03-25,HC,0.1
2025-03-25,I,0.1
2025-03-25,IC,0.1
2025-03-25,IF,0.1
2025-03-25,IH,0.1
2025-03-25,A,-0.1
2025-03-25,AG,-0.1
2025-03-25,AL,-0.1
2025-03-25,AU,-0.1
2025-03-25,FU,-0.1
2025-03-25,HC,-0.1
2025-03-25,I,-0.1
2025-03-25,IC,-0.1
2025-03-25,IF,-0.1
2025-03-25,IH,-0.1
2025-03-26,A,0.1
2025-03-26,AG,0.1
2025-03-26,AL,0.1
2025-03-26,AU,0.1
2025-03-26,FU,0.1
2025-03-26,HC,0.1
2025-03-26,I,0.1
2025-03-26,IC,0.1
2025-03-26,IF,0.1
2025-03-26,IH,0.1
2025-03-26,A,-0.1
2025-03-26,AG,-0.1
2025-03-26,AL,-0.1
2025-03-26,AU,-0.1
2025-03-26,FU,-0.1
2025-03-26,HC,-0.1
2025-03-26,I,-0.1
2025-03-26,IC,-0.1
2025-03-26,IF,-0.1
2025-03-26,IH,-0.1
2025-03-27,A,0.1
2025-03-27,AG,0.1
2025-03-27,AL,0.1
2025-03-27,AU,0.1
2025-03-27,FU,0.1
2025-03-27,HC,0.1
2025-03-27,I,0.1
2025-03-27,IC,0.1
2025-03-27,IF,0.1
2025-03-27,IH,0.1
2025-03-27,A,-0.1
2025-03-27,AG,-0.1
2025-03-27,AL,-0.1
2025-03-27,AU,-0.1
2025-03-27,FU,-0.1
2025-03-27,HC,-0.1
2025-03-27,I,-0.1
2025-03-27,IC,-0.1
2025-03-27,IF,-0.1
2025-03-27,IH,-0.1
2025-03-28,A,0.1
2025-03-28,AG,0.1
2025-03-28,AL,0.1
2025-03-28,AU,0.1
2025-03-28,FU,0.1
2025-03-28,HC,0.1
2025-03-28,I,0.1
2025-03-28,IC,0.1
2025-03-28,IF,0.1
2025-03-28,IH,0.1
2025-03-28,A,-0.1
2025-03-28,AG,-0.1
2025-03-28,AL,-0.1
2025-03-28,AU,-0.1
2025-03-28,FU,-0.1
2025-03-28,HC,-0.1
2025-03-28,I,-0.1
2025-03-28,IC,-0.1
2025-03-28,IF,-0.1
2025-03-28,IH,-0.1
2025-03-31,A,0.1
2025-03-31,AG,0.1
2025-03-31,AL,0.1
2025-03-31,AU,0.1
2025-03-31,FU,0.1
2025-03-31,HC,0.1
2025-03-31,I,0.1
2025-03-31,IC,0.1
2025-03-31,IF,0.1
2025-03-31,IH,0.1
2025-03-31,A,-0.1
2025-03-31,AG,-0.1
2025-03-31,AL,-0.1
2025-03-31,AU,-0.1
2025-03-31,FU,-0.1
2025-03-31,HC,-0.1
2025-03-31,I,-0.1
2025-03-31,IC,-0.1
2025-03-31,IF,-0.1
2025-03-31,IH,-0.1
2025-04-01,A,0.1
2025-04-01,AG,0.1
2025-04-01,AL,0.1
2025-04-01,AU,0.1
2025-04-01,FU,0.1
2025-04-01,HC,0.1
2025-04-01,I,0.1
2025-04-01,IC,0.1
2025-04-01,IF,0.1
2025-04-01,IH,0.1
2025-04-01,A,-0.1
2025-04-01,AG,-0.1
2025-04-01,AL,-0.1
2025-04-01,AU,-0.1
2025-04-01,FU,-0.1
2025-04-01,HC,-0.1
2025-04-01,I,-0.1
2025-04-01,IC,-0.1
2025-04-01,IF,-0.1
2025-04-01,IH,-0.1
